X,Y,OBJECTID,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Recovered,Deaths
-116.5765,53.9333,1,Alberta,Canada,2020-04-16T10:42:41.000Z,53.9333,-116.5765,1870,0,48
117.2264,31.8257,3,Anhui,China,2020-04-09T01:12:20.000Z,31.8257,117.2264,991,984,6
-69.9683,12.5211,4,Aruba,Netherlands,2020-04-16T10:35:12.000Z,12.5211,-69.9683,93,39,1
149.0124,-35.4735,5,Australian Capital Territory,Australia,2020-04-16T10:42:57.000Z,-35.4735,149.0124,103,82,3
116.4142,40.1824,6,Beijing,China,2020-04-16T01:27:22.000Z,40.1824,116.4142,593,503,8
-64.7505,32.3078,7,Bermuda,United Kingdom,2020-04-16T10:35:12.000Z,32.3078,-64.7505,81,33,5
-127.6476,53.7267,9,British Columbia,Canada,2020-04-16T10:42:41.000Z,53.7267,-127.6476,1561,0,75
-81.2546,19.3133,11,Cayman Islands,United Kingdom,2020-04-16T10:35:12.000Z,19.3133,-81.2546,60,6,1
-2.3644,49.3723,12,Channel Islands,United Kingdom,2020-04-16T10:35:12.000Z,49.3723,-2.3644,447,69,15
107.874,30.0572,13,Chongqing,China,2020-03-29T00:14:12.000Z,30.0572,107.874,579,570,6
-68.99,12.1696,14,Curacao,Netherlands,2020-04-16T10:35:12.000Z,12.1696,-68.99,14,10,1
117.9874,26.0789,19,Fujian,China,2020-04-16T02:06:52.000Z,26.0789,117.9874,353,333,1
101.0583,37.8099,20,Gansu,China,2020-04-14T14:31:10.000Z,37.8099,101.0583,139,136,2
-61.551,16.265,24,Guadeloupe,France,2020-04-16T10:35:12.000Z,16.265,-61.551,145,67,8
113.424400000000119,23.3417,25,Guangdong,China,2020-04-16T01:54:44.000Z,23.3417,113.4244,1571,1471,8
108.7881,23.8298,26,Guangxi,China,2020-04-02T00:16:02.000Z,23.8298,108.7881,254,252,2
106.8748,26.8154,27,Guizhou,China,2020-03-18T01:37:43.000Z,26.8154,106.8748,146,144,2
109.7453,19.1959,28,Hainan,China,2020-03-24T04:19:14.000Z,19.1959,109.7453,168,162,6
116.1306,39.549,29,Hebei,China,2020-04-16T01:58:47.000Z,39.549,116.1306,328,315,6
127.7615,47.862,30,Heilongjiang,China,2020-04-16T02:06:52.000Z,47.862,127.7615,861,471,13
113.614,33.882,31,Henan,China,2020-04-14T00:43:57.000Z,33.882,113.614,1276,1254,22
114.2,22.3,32,Hong Kong,China,2020-04-16T09:30:36.000Z,22.3,114.2,1017,485,4
112.2707,30.9756,33,Hubei,China,2020-04-16T01:54:44.000Z,30.9756,112.2707,67803,64435,3222
111.7088,27.6104,34,Hunan,China,2020-04-02T01:30:57.000Z,27.6104,111.7088,1019,1014,4
113.9448000000001,44.0935,35,Inner Mongolia,China,2020-04-16T00:37:36.000Z,44.0935,113.9448,193,94,1
-4.5481,54.2361,36,Isle of Man,United Kingdom,2020-04-16T10:35:12.000Z,54.2361,-4.5481,283,153,4
115.7221,27.614,38,Jiangxi,China,2020-04-10T01:22:42.000Z,27.614,115.7221,937,936,1
126.1923,43.6661,39,Jilin,China,2020-04-15T00:28:05.000Z,43.6661,126.1923,102,96,1
122.6085,41.2956,40,Liaoning,China,2020-04-16T08:07:24.000Z,41.2956,122.6085,145,140,2
-98.8139,53.7609,42,Manitoba,Canada,2020-04-16T10:42:41.000Z,53.7609,-98.8139,246,0,5
-61.0242,14.6415,43,Martinique,France,2020-04-16T10:35:12.000Z,14.6415,-61.0242,158,73,8
